,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/condmat_sparse_nb.txt,1.0,kmeans,0.0738078921515,-0.578179753642
1,../datasets/embedding_results/condmat_sparse_nb.txt,1.0,agglomerative,0.0731864430513,-0.582446296863
2,../datasets/embedding_results/condmat_sparse_nb.txt,2.0,kmeans,0.112658744835,-0.449045375988
3,../datasets/embedding_results/condmat_sparse_nb.txt,2.0,agglomerative,0.113593728503,-0.447441540476
4,../datasets/embedding_results/condmat_sparse_nb.txt,3.0,kmeans,0.172343885704,-0.233701785492
5,../datasets/embedding_results/condmat_sparse_nb.txt,3.0,agglomerative,0.171455205266,-0.241294654016
6,../datasets/embedding_results/condmat_sparse_nb.txt,4.0,kmeans,0.202951001076,-0.164061868597
7,../datasets/embedding_results/condmat_sparse_nb.txt,4.0,agglomerative,0.206091100724,-0.153794792117
8,../datasets/embedding_results/condmat_sparse_nb.txt,5.0,kmeans,0.237522095703,-0.0781375541064
9,../datasets/embedding_results/condmat_sparse_nb.txt,5.0,agglomerative,0.241723603306,-0.0582118422329
10,../datasets/embedding_results/condmat_sparse_nb.txt,6.0,kmeans,0.262444477136,-0.0187143831457
11,../datasets/embedding_results/condmat_sparse_nb.txt,6.0,agglomerative,0.269555149778,0.0202028050945
12,../datasets/embedding_results/condmat_sparse_nb.txt,7.0,kmeans,0.279139806037,0.0138149718123
13,../datasets/embedding_results/condmat_sparse_nb.txt,7.0,agglomerative,0.284886412317,0.0518383828985
14,../datasets/embedding_results/condmat_sparse_nb.txt,8.0,kmeans,0.292459443249,0.0481211327048
15,../datasets/embedding_results/condmat_sparse_nb.txt,8.0,agglomerative,0.30311997693,0.0893762790259
16,../datasets/embedding_results/condmat_sparse_nb.txt,9.0,kmeans,0.310122325918,0.0809358323313
17,../datasets/embedding_results/condmat_sparse_nb.txt,9.0,agglomerative,0.319519651392,0.118058228188
18,../datasets/embedding_results/condmat_sparse_nb.txt,10.0,kmeans,0.308371944506,0.0691678155852
19,../datasets/embedding_results/condmat_sparse_nb.txt,10.0,agglomerative,0.316755198778,0.113494045247
20,../datasets/embedding_results/condmat_sparse_nb.txt,20.0,kmeans,0.367080054861,0.158721043652
21,../datasets/embedding_results/condmat_sparse_nb.txt,20.0,agglomerative,0.381624820968,0.201742056653
22,../datasets/embedding_results/condmat_sparse_nb.txt,30.0,kmeans,0.382247095868,0.184538707567
23,../datasets/embedding_results/condmat_sparse_nb.txt,30.0,agglomerative,0.403695348515,0.235732358014
24,../datasets/embedding_results/condmat_sparse_nb.txt,40.0,kmeans,0.391052213762,0.184616596076
25,../datasets/embedding_results/condmat_sparse_nb.txt,40.0,agglomerative,0.416191873898,0.242977509353
26,../datasets/embedding_results/condmat_sparse_nb.txt,50.0,kmeans,0.400175590977,0.194981723295
27,../datasets/embedding_results/condmat_sparse_nb.txt,50.0,agglomerative,0.424061076302,0.253917762687
28,../datasets/embedding_results/condmat_sparse_nb.txt,100.0,kmeans,0.437902830416,0.220109509465
29,../datasets/embedding_results/condmat_sparse_nb.txt,100.0,agglomerative,0.466239292337,0.280993410467
30,../datasets/embedding_results/condmat_sparse_nb.txt,150.0,kmeans,0.465458680967,0.245836621516
31,../datasets/embedding_results/condmat_sparse_nb.txt,150.0,agglomerative,0.492295836528,0.30363023022
32,../datasets/embedding_results/condmat_sparse_nb.txt,200.0,kmeans,0.482139685724,0.266300306826
33,../datasets/embedding_results/condmat_sparse_nb.txt,200.0,agglomerative,0.496718123797,0.313131510412
34,../datasets/embedding_results/condmat_sparse_nb.txt,250.0,kmeans,0.505433276258,0.287875642
