0	1
0	2
0	3
0	4
0	5
0	6
7	8
7	9
7	10
7	11
7	12
7	13
7	14
7	15
16	1
16	5
16	17
16	18
19	20
19	2
19	21
22	23
24	25
24	26
24	27
24	28
29	25
29	26
29	8
29	15
29	27
29	28
30	9
30	11
30	31
30	4
30	15
20	32
20	12
20	33
20	34
20	21
25	26
25	8
25	35
25	14
25	28
1	36
1	5
1	6
37	23
38	39
26	8
26	35
26	14
26	15
26	28
2	40
2	41
2	39
2	42
2	33
2	43
2	4
2	44
2	45
2	46
3	47
3	41
3	4
3	34
3	48
3	21
40	32
40	39
40	33
40	43
40	45
8	49
8	50
8	11
8	51
8	28
47	32
47	52
47	41
47	36
47	34
47	23
9	31
9	15
32	12
32	13
32	43
32	17
32	6
32	45
52	36
52	39
52	33
52	34
52	23
53	13
53	34
53	23
41	36
41	34
41	23
50	10
50	11
10	11
12	31
12	6
36	54
36	44
36	34
36	23
36	46
31	5
31	6
35	55
39	42
39	33
39	43
39	4
39	44
39	45
42	33
42	17
42	56
13	33
13	57
13	4
13	21
33	4
33	44
33	34
33	18
43	44
43	17
43	46
43	58
57	28
4	46
14	15
14	28
5	6
5	45
44	59
44	60
34	45
34	23
34	21
59	56
61	28
45	23
23	48
60	18
15	28
